1;0;0;;0
1;5;31;32,16,8,3,13,28,31,35,37,34;0
1;1;13;22,21,13,41,5,23,2,45,35,33;0
1;9;6;39,8,43,30,22,26,38,29,6,46;0
1;4;7;2,19,33,15,27,6,34,47,32,7;0
1;4;49;21,10,3,13,11,49,27,24,29,44;0
1;4;44;13,32,21,10,30,27,44,29,11,24;0
1;0;3;11,27,10,35,49,32,3,13,28,29;0
1;4;38;6,49,14,29,48,38,40,1,30,47;0
1;8;44;44,13,49,29,30,34,35,32,10,3;0
1;7;21;37,1,45,17,21,26,9,3,11,40;0
1;1;16;26,3,19,27,16,13,1,36,46,4;0
1;3;25;15,12,47,34,36,0,2,23,25,49;0
1;6;2;34,2,40,45,7,30,47,9,8,13;0
1;1;44;15,41,33,34,27,44,40,6,25,17;0
1;0;30;38,29,8,26,43,6,30,39,32,14;0
1;1;38;6,49,14,29,48,38,40,1,30,47;0
1;3;23;15,12,47,34,36,0,2,23,25,49;0
2;0;0;;0
2;0;49;6,49,14,29,48,38,40,1,30,47;0
2;0;14;6,49,14,29,48,38,40,1,30,47;0
2;4;8;34,43,16,3,32,25,19,13,35,8;0
2;1;24;3,44,34,29,28,49,27,10,13,24;0
2;7;43;11,5,28,38,32,43,22,8,14,30;0
2;2;11;16,27,23,26,1,11,3,46,13,19;0
2;3;10;48,10,28,20,41,15,6,11,24,2;0
3;0;0;;0
3;7;25;32,11,3,25,13,16,19,17,43,28;0
3;3;23;1,13,36,27,26,23,11,3,19,4;0
3;5;36;31,36,16,26,32,19,1,0,37,41;0
3;2;34;5,45,9,28,34,13,22,37,33,21;0
3;2;11;10,28,2,39,11,24,20,48,30,15;0
3;9;38;38,32,21,37,9,3,33,5,19,8;0
4;0;0;;0
5;0;0;;0
6;0;0;;0
7;0;0;;0
7;3;49;6,49,14,29,48,38,40,1,30,47;0
7;2;32;4,32,37,39,16,1,19,26,46,41;0
7;1;43;11,48,15,41,44,30,10,2,39,43;0
8;0;0;;0
8;3;48;6,49,14,29,48,38,40,1,30,47;0
8;4;13;34,2,40,45,7,30,47,9,8,13;0
8;0;26;23,5,25,46,7,40,26,41,36,17;0
8;3;29;6,49,14,29,48,38,40,1,30,47;0
8;2;2;34,2,40,45,7,30,47,9,8,13;0
8;7;20;41,2,11,6,39,20,30,43,15,17;0
9;0;0;;0
